web-scraper-order,web-scraper-start-url,imageUrl-src,title,ratingAndTime,category,area
"1738075745-1","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/7/18/95189a93-5dc8-49ea-9a4b-986687ddc7a8_765152.jpg","Pizza Hut","4 • 30-35 mins","Pizzas","Punawale"
"1738075745-2","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/6/11/cab874d5-c7ed-4122-9eb9-935992f4bcee_253596.JPG","Burger King","4.1 • 30-35 mins","Burgers, American","Tathawade"
"1738075745-3","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2025/1/21/8d7b9fd4-0779-429b-95b2-ab28b268dfbd_36014.JPG","Subway","4 • 25-30 mins","sandwich, Salads, wrap, Healthy Food","Tathawade"
"1738075745-4","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/12/9/a63b8ecb-89f9-449d-9b51-4dbaa27efe40_752535.JPG","KFC","4.2 • 15-20 mins","Burgers, Biryani, American, Snacks, Fast Food","Puna wale"
"1738075745-5","https://www.swiggy.com/restaurants","","Goila Butter Chicken","4.1 • 30-35 mins","North Indian, Biryani, Kebabs","INFOTECH - BIOTECH PARK"
"1738075745-6","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/7/18/bdd32803-83b5-4a7b-bc86-1a5a0cc6da42_925285.jpg","Cheesecake & Co.","4.6 • 25-30 mins","Desserts, Bakery","Hinjewadi"
"1738075745-7","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/9/30/73622b9b-a3b9-40cf-91f2-fb91c2693a4e_872653.jpg","Good Flippin' Burgers","4.4 • 30-35 mins","Burgers, American, Fast Food","Hinjewadi"
"1738075745-8","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/8/27/1d256f0d-8ef3-4e29-9a5b-2a5261bf60f6_948165.JPG","Bhurji Baba","4.2 • 20-25 mins","Indian, Snacks, Fast Food","Hinjewadi"
"1738075745-9","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2025/1/21/6f670ade-6fa0-464e-b6a3-d03065967418_643827.JPG","WeFit - Protein Bowls, Salads & Sandwiches","4.4 • 20-30 mins","Healthy Food, Salads, Keto, Snacks","Marunji"
"1738075745-10","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/5/19/741d7d41-1341-4358-b6e0-cc22b8e82f9a_750391.JPG","Daily Kitchen - Homely Meals","4.3 • 20-30 mins","Home Food, Indian, North Indian, Thalis","Infotech Park"
"1738075745-11","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/8/30/0df302b0-0a16-44f8-bc2c-a3f52f59430a_681607.jpg","LeanCrust Pizza- ThinCrust Experts","4.4 • 20-30 mins","Pizzas, Italian, Desserts","Mulshi Road"
"1738075745-12","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/12/12/d076446d-b4da-4e98-af69-47dad5966a0d_622197.jpg","MOJO Pizza - 2X Toppings","4.4 • 20-30 mins","Pizzas, Italian, Fast Food, Desserts","Hinjewadi"
"1738075745-13","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2024/9/18/15e4dc33-7103-4712-a8aa-0c41e4dab461_772299.jpg","McDonald's","4.5 • 25-30 mins","Burgers, Beverages, Cafe, Desserts","Wakad"
"1738075745-14","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/de56dffcc29d6ad046285c5b664bda8f","Zeeshan Restaurant Apna Hyderabadi Food","4 • 20-25 mins","Biryani, Tandoor, Sweets, Mughlai, Beverages","Hinjewadi"
"1738075745-15","https://www.swiggy.com/restaurants","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_660/RX_THUMBNAIL/IMAGES/VENDOR/2025/1/26/145d4a92-86d6-46bd-9a04-958ed0e5344a_982174.jpg","Olio - The Wood Fired Pizzeria","4.2 • 35-40 mins","Pizzas, Pastas, Italian, Fast Food, Snacks, Beverages, Desserts","Ravet"
